"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"FinalProject.nlogo"
"Effect of Water Density on Dengue Spread (20% density)"
"05/27/2025 01:09:54:624 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","35","0","35"
"init-total-humans","init-n-turtles-infected","water-density","init-total-mosquitoes","max-ticks","[step]","(mean) mosquito_to_human_rate","(std) mosquito_to_human_rate","(mean) human_to_mosquito_rate","(std) human_to_mosquito_rate","(mean) total-mosquitoes","(std) total-mosquitoes","(mean) mosquito-death-toll","(std) mosquito-death-toll","(mean) cur-human-population","(std) cur-human-population","(mean) %infected-humans","(std) %infected-humans","(mean) %recovered-humans","(std) %recovered-humans","(mean) total-larvae","(std) total-larvae","(mean) total-hatched-larvae","(std) total-hatched-larvae"
"500","10","20","5000","100","0","0","0","0","0","5000","0","0","0","500","0","0","0","0","0","0","0","0","0"
"500","10","20","5000","100","1","0.1823071853196402","0.11331333852315083","2.359229093610794","0.4573375282569584","5000","0","166","7.252585745787498","500","0","2.2399999999999998","0.14966629547095764","2.2399999999999998","0.14966629547095764","529.9","145.85091703516989","0","0"
"500","10","20","5000","100","2","0.18381571243126243","0.10201331090216516","2.4400038369976413","0.5522826680504133","5000","0","334.3","14.859676981684359","500","0","2.4799999999999995","0.2712931993250108","2.4799999999999995","0.2712931993250108","1046.4","184.3259070234024","0","0"
"500","10","20","5000","100","3","0.21149723125591882","0.0844206956451353","2.4406773871559397","0.407587544615828","5000","0","503.2","19.95895788862735","500","0","2.82","0.3280243893371347","2.82","0.3280243893371347","1555.7","227.5812162723453","0","0"
"500","10","20","5000","100","4","0.6765548067807841","0.20111184005142269","2.82755176919568","0.4323327465224513","5000","0","673.1","16.85496959356498","500","0","5.220000000000001","0.9271461589199409","5.220000000000001","0.9271461589199409","2020.7","215.93705101255782","0","0"
"500","10","20","5000","100","5","0.9791751392262255","0.24178323110499733","3.47329658079767","0.5400197705653226","5019","6.164414002968976","839.3","22.48577328000974","500","0","7.659999999999999","1.4001428498549708","7.659999999999999","1.4001428498549708","2489.5","238.8925490675672","19","6.164414002968976"
"500","10","20","5000","100","6","1.1859394297227064","0.22850152733438264","4.225612233894006","0.5668858692195654","5050.8","11.294246322796399","1005.6","18.730723424363514","499.8","0.4","9.92","1.3392535234226566","9.92","1.3392535234226566","3024.6","333.01327300874965","50.8","11.294246322796399"
"500","10","20","5000","100","7","1.7500668016623468","0.3263532156130159","5.232910885258897","0.7292345104052277","5088.3","18.552897347853786","1174.3","17.48742405273001","499.6","0.66332495807108","14.479999999999999","2.4069898213328615","14.9","2.3276597689524983","3458.1","398.5030614687922","88.3","18.552897347853783"
"500","10","20","5000","100","8","2.37687901511087","0.4517933407722968","6.507754072870505","0.8738697806089875","5129.2","20.85089926118296","1347","18.708286933869708","499.1","0.8306623862918074","19.840000000000003","3.3962332075403774","20.82","3.25262970533075","3942.5","483.83535422703454","129.2","20.85089926118296"
"500","10","20","5000","100","9","3.031441189461683","0.4781013965116969","7.967268474313981","1.0951669305078702","5173.9","23.71265484925718","1504.7","20.189353630069487","498.4","1.28062484748657","25.259999999999998","3.7449165544775487","26.839999999999996","3.687600846078653","4464.9","436.3410248876445","173.9","23.712654849257177"
"500","10","20","5000","100","10","4.040696549550608","0.6426152723401438","9.513278153524043","1.3033204021719544","5221.2","27.683207906599264","1666.7","21.071544793868345","497.8","1.32664991614216","33.14","4.262440615422109","35.66","4.641594553599011","4911.4","501.20279328830566","221.2","27.683207906599264"
"500","10","20","5000","100","11","5.277456023503109","0.7825658503811759","11.061239398977458","1.458822901814134","5266.6","30.630703550522636","1826.8","19.68654362756449","495.5","1.6881943016134133","41.39999999999999","4.617358552246077","44.720000000000006","5.2392365856105405","5287.1","476.11709694149823","266.6","30.630703550522636"
"500","10","20","5000","100","12","6.676116196344064","0.9097188670650643","12.637643636834369","1.4287713788502228","5313","42.522934988074375","1991.6","23.376056125873756","493.2","2.8213471959331766","49.82000000000001","4.692504661691879","53.98","5.300905583011264","5665.4","518.5005689485788","313","42.522934988074375"
"500","10","20","5000","100","13","8.415178309769175","1.209257334206885","14.02258638325215","1.3963809871188815","5359.8","49.40404841710849","2160.6","26.138859959837575","490.1","3.1448370387032774","58.32000000000001","5.800827527172309","63.3","6.58862656401165","6041.9","443.7660306963569","359.8","49.40404841710849"
"500","10","20","5000","100","14","10.373792382047458","1.4923725128086938","15.21117867862002","1.4005135427118536","5404.2","49.533423059586745","2326.9","25.177172200229315","485.5","3.8535697735995385","65.38","5.224901912954922","71.18","6.044137655613081","6417.2","412.2498756822129","404.2","49.533423059586745"
"500","10","20","5000","100","15","12.454102055663416","1.5910403240903381","16.14869157114036","1.3092752706931583","5446.1","54.74385810298722","2490.3","25.849758219372188","479.2","5.015974481593781","70.6","3.258220373148508","77.38","4.321527507722244","6732.3","497.44849984696907","446.1","54.743858102987225"
"500","10","20","5000","100","16","14.731145763030728","1.8237737963537886","16.79052391030054","1.104724394187299","5485","58.92367945062494","2660","31.18653555623003","470.8","6.764613810115105","74.46000000000001","3.260736113211251","81.74","3.840885314611721","6976.2","524.0944189742913","485","58.92367945062494"
"500","10","20","5000","100","17","17.001483891462918","2.0545455604468024","17.070792465718405","0.9644015946126906","5520.6","56.831681305412744","2827.7","32.7476716729602","462.2","10.087616170334794","76.86000000000001","2.5706808436676862","84.30000000000001","3.021588985947624","7305.1","494.65532444319246","520.6","56.831681305412744"
"500","10","20","5000","100","18","19.301810521478767","2.0442548360239656","17.173626885741836","0.8683414828396181","5555.7","51.42382716212398","2998.9","32.86167981098958","452.1","11.031319050775387","77.56","1.45272158378679","85.02000000000001","2.0889231675674456","7588","565.3733279877996","555.7","51.423827162123985"
"500","10","20","5000","100","19","21.444664148107723","2.0957614939867497","17.152678800527617","0.766701721509762","5589.9","51.05575383832855","3166.7","35.2279718405701","443.3","12.410076550932311","77.92","1.3059862173851604","85.08","1.804882267628558","7954.9","529.4284559787092","589.9","51.05575383832855"
"500","10","20","5000","100","20","23.43145386577482","2.191581683000537","17.03421284951085","0.6242949456705036","5618.9","53.604943801854695","3326","29.95663532508282","434.1","12.267436570041843","77.67999999999999","1.6761861471805597","84.32","1.9701776569639606","8193.3","593.216663622997","618.9","53.604943801854695"
"500","10","20","5000","100","21","25.273811982337204","2.164447694720896","16.87862371623306","0.5556920917891176","5649.4","55.335702760514394","3492.1","26.15511422265252","424.3","11.925183436744275","77.08000000000001","1.901998948475","83.1","1.8509457042279764","8415.8","654.5906812657815","649.4","55.335702760514394"
"500","10","20","5000","100","22","26.97326064963196","2.1357815474317423","16.672195514258533","0.5386081356436546","5676.2","55.811826703665595","3660.9","21.97930845135943","413.9","11.246777316191514","76.1","1.6905620367203342","81.61999999999999","1.8535371590556207","8723.3","668.2144940062285","676.2","55.811826703665595"
"500","10","20","5000","100","23","28.48991298136403","2.139599852213089","16.45485273690263","0.510090313185317","5704.1","55.031718126912956","3821","12.67280552995271","404.3","12.32112007895386","75.34","2.021979228379957","80.28","2.3206895526976434","8899.7","682.4119064025773","704.1","55.031718126912956"
"500","10","20","5000","100","24","29.848274029677004","2.0972686974203154","16.28183723663829","0.49375118468516094","5731.1","56.94813429779768","3989.8","16.46693656998775","395.7","12.884486796143648","74.14000000000001","2.095805334471695","78.80000000000001","2.5783715791173294","9131.2","731.5624101879483","731.1","56.94813429779767"
"500","10","20","5000","100","25","31.066837477826898","2.095178902763383","16.111340474889452","0.47303943449468566","5755.7","59.45763197437315","4157.7","21.75339054032727","389.6","12.642784503423286","73.35999999999999","2.302694074339883","77.66","2.5550733844647215","9331.5","718.710129328925","755.7","59.45763197437315"
"500","10","20","5000","100","26","32.05034223344634","2.071169465869834","15.985969739485975","0.4521497594357368","5783.8","63.71153741670342","4325.6","28.38732111348304","382.6","14.00142849854971","72.3","2.2239604313026793","76.32000000000001","2.8244645510255584","9454.4","750.2205275783915","783.8","63.71153741670343"
"500","10","20","5000","100","27","32.937761790323634","2.04041680027589","15.866120139303765","0.4379635771810382","5805.3","64.79513870654188","4490.7","23.5968218198977","375.6","15.913516267626084","71.30000000000001","2.83019433961698","74.91999999999999","3.2052457004105013","9601.6","753.3512062776564","805.3","64.79513870654188"
"500","10","20","5000","100","28","33.71359855626552","2.038725950297923","15.75674382065109","0.4239933246747661","5826","67.8159273327439","4665.3","19.51947745202212","368","14.979986648859205","69.64","2.7477991192952924","73.48","3.0386839256493934","9743.8","745.2929356970989","826","67.8159273327439"
"500","10","20","5000","100","29","34.327636281156046","2.031311983729962","15.688232407363392","0.4194939809846129","5845.1","67.47658853261626","4833.6","12.191800523302536","362.8","15.25647403563484","67.79999999999998","3.133049632546537","72.46000000000001","3.080324658213805","9826.2","720.8697247075924","845.1","67.47658853261626"
"500","10","20","5000","100","30","34.84501462177887","2.0297097967585955","15.640898336715129","0.40741406245588907","5863.9","66.74196580862748","5000","0","358.6","15.570484899321537","65.58","3.1691639275998327","71.66","3.108761811396943","9889.3","708.1768211400314","863.9","66.74196580862748"
"500","10","20","5000","100","31","35.384546801094146","2.01786751180125","15.570434716667586","0.4012000320262494","5878.7","65.27028420345663","5000","0","353.8","14.702380759591284","63.1","2.7221315177632412","70.75999999999999","2.940476151918258","9954.2","739.5444273334767","878.7","65.27028420345663"
"500","10","20","5000","100","32","35.889105078794124","2.0100898850857676","15.505232611023999","0.403485002781921","5894.3","65.78001216175016","5000","0","349.3","13.9","60.32000000000001","2.7974273895849366","69.86000000000001","2.779999999999998","10106.7","804.515263994413","894.3","65.78001216175016"
"500","10","20","5000","100","33","36.42992895650629","1.9900618459788213","15.4249475778845","0.396975130280045","5906","66.1921445490324","5000","0","345.2","14.147791347061915","56.65999999999999","3.2533674861595325","69.03999999999999","2.829558269412382","10199.9","836.6519527258632","906","66.1921445490324"
"500","10","20","5000","100","34","36.95651011176285","1.9909744540449905","15.339817565434156","0.39352190085664246","5915.5","65.57934125927157","5000","0","340.1","13.656134152826706","53.220000000000006","3.8423430351804893","68.02000000000001","2.731226830565341","10349.6","839.1033547781823","915.5","65.57934125927157"
"500","10","20","5000","100","35","37.46293292559827","1.9811147347443223","15.245226321848488","0.3881123678650835","5924.5","67.55479257610077","5019","6.164414002968976","336.9","14.243946082459031","49.76","3.702755730533679","67.38","2.8487892164918076","10433.5","824.201583352034","924.5","67.55479257610077"
"500","10","20","5000","100","36","37.97500461457303","1.9541671376554373","15.142316890627495","0.3951666528512027","5935.9","68.7029111464718","5050.8","11.2942463227964","333.7","14.615402833996741","46.21999999999999","4.236460787024942","66.74000000000001","2.9230805667993462","10532.1","839.0203156062432","935.9","68.7029111464718"
"500","10","20","5000","100","37","38.45785902713064","1.958938869565139","15.046703156813612","0.39880253128908927","5945.9","73.40088555324111","5088.3","18.552897347853786","331.9","14.038874598770372","42.97999999999999","4.437521830932216","66.38","2.8077749197540744","10621.5","834.7916207054309","945.9","73.40088555324111"
"500","10","20","5000","100","38","38.893620833222265","1.9635473733007454","14.965103608441524","0.39976966991180235","5956.6","74.94024286056191","5129.2","20.85089926118296","329.9","13.427211177307074","39.94","4.627785647585678","65.97999999999999","2.6854422354614145","10732.5","837.4529539024863","956.6","74.94024286056191"
"500","10","20","5000","100","39","39.331668326747824","1.95485985730315","14.87763882105654","0.40510830825956645","5966.8","76.4235565777987","5173.9","23.71265484925718","327.5","13.245754036671524","36.72","5.165423506354537","65.49999999999999","2.649150807334308","10844.9","912.9594131175821","966.8","76.4235565777987"
"500","10","20","5000","100","40","39.73086784890757","1.962546805668656","14.79551948556894","0.3989259790255009","5977.8","78.44845441434776","5221.2","27.68320790659926","325.1","12.723600119463043","33.36","5.236640144214608","65.02000000000001","2.5447200238926113","10953.8","898.3486850883681","977.8","78.44845441434776"
"500","10","20","5000","100","41","40.091347676171395","1.9618522945924606","14.71628977101146","0.3859036735621591","5987.8","77.77763174589465","5266.6","30.630703550522636","322.8","12.859237924542807","30.8","5.4508714899546105","64.56","2.571847584908564","11045.5","876.1309548235355","987.8","77.77763174589465"
"500","10","20","5000","100","42","40.44199178140287","1.9534378363566478","14.644892708525859","0.38700520925775417","5995.2","78.42678114011821","5313","42.522934988074375","321.5","13.154847015454038","28.3","5.398703548075222","64.3","2.630969403090807","11148.5","875.225942257198","995.2","78.42678114011821"
"500","10","20","5000","100","43","40.76351411238911","1.9378006395461904","14.577015945101774","0.38583598031545674","6003.8","78.33364538944936","5359.8","49.40404841710849","320.5","12.901550294441362","26.759999999999998","5.458791074954234","64.10000000000001","2.5803100588882755","11259.9","867.8869108357379","1003.8","78.33364538944936"
"500","10","20","5000","100","44","41.04346092511428","1.9332905090931383","14.517235218344752","0.37899837171829653","6012.8","78.72712366141671","5404.2","49.533423059586745","317.7","12.907749610214786","25","5.317142089506355","63.540000000000006","2.581549922042958","11320.5","878.7833919686922","1012.8","78.72712366141671"
"500","10","20","5000","100","45","41.31997357877499","1.9169230693877792","14.459102032451344","0.3719729382214672","6021.8","79.08956947663832","5446.1","54.743858102987225","316.3","12.759702190882043","23.58","5.139221730962773","63.25999999999999","2.551940438176411","11368.8","872.2649597456038","1021.8","79.08956947663833"
"500","10","20","5000","100","46","41.5571920290766","1.908718422309501","14.412236204083078","0.3628295212900944","6031.7","78.09359768892709","5485","58.92367945062494","315.1","12.78632081562167","22.240000000000002","5.2236385786154855","63.02","2.5572641631243367","11458.7","849.984123381137","1031.7","78.0935976889271"
"500","10","20","5000","100","47","41.772752480217946","1.9115420546277055","14.363719190950928","0.3494822951022692","6040.5","77.31138337916352","5520.6","56.831681305412744","313.8","13.227244611029162","21.060000000000002","5.308144685292594","62.76000000000001","2.645448922205831","11524.2","855.8995034465204","1040.5","77.31138337916352"
"500","10","20","5000","100","48","41.9709006828589","1.9172643657199433","14.323525038126414","0.33700507164187943","6048.6","77.95152339755779","5555.7","51.42382716212398","313","13.076696830622021","19.759999999999998","4.964514074912064","62.60000000000001","2.615339366124405","11610.8","862.570785501109","1048.6","77.95152339755779"
"500","10","20","5000","100","49","42.1506673993869","1.9111203759372302","14.280983708593798","0.338662558212168","6054.9","78.19392559527881","5589.9","51.05575383832855","312","12.798437404620925","18.559999999999995","4.714064064053436","62.40000000000001","2.5596874809241865","11648.8","869.562855692445","1054.9","78.19392559527881"
"500","10","20","5000","100","50","42.31224199627153","1.9082638808248196","14.243277600816844","0.33835833331104864","6062","76.41727553374302","5618.9","53.604943801854695","311.5","12.71416532848303","17.78","4.403135246616892","62.30000000000001","2.542833065696607","11682","846.1761046023457","1062","76.41727553374302"
"500","10","20","5000","100","51","42.471181150679904","1.900032575793206","14.20792290734899","0.3368342331100693","6068.1","75.86890008429013","5649.4","55.335702760514394","310.3","12.546314199795892","16.54","4.136713671503021","62.06","2.5092628399591774","11728.6","835.597534701964","1068.1","75.86890008429013"
"500","10","20","5000","100","52","42.61001258232013","1.8929380699612566","14.175920529716668","0.33910364795439574","6075.2","75.63702796911048","5676.2","55.811826703665595","309.7","12.32923355282071","15.36","3.9015894197108953","61.94","2.465846710564142","11791.8","855.5578063462456","1075.2","75.63702796911048"
"500","10","20","5000","100","53","42.7366839456295","1.8945825066969035","14.14646568545138","0.33975888944159327","6080.9","76.60868097023992","5704.1","55.031718126912956","309.1","12.421352583354198","14.159999999999997","3.6208286344426743","61.82000000000001","2.48427051667084","11832.2","852.241843610134","1080.9","76.60868097023992"
"500","10","20","5000","100","54","42.86302960125626","1.8923759984533108","14.117881554722462","0.3369313053295127","6086.2","77.08021795506289","5731.1","56.94813429779768","308.5","12.060265337047937","13.059999999999999","3.361011752434079","61.7","2.4120530674095875","11887.9","874.3712541020548","1086.2","77.08021795506289"
"500","10","20","5000","100","55","42.96553834656695","1.8859338729953425","14.08919657019708","0.33511431649310924","6091","77.25412610339981","5755.7","59.45763197437315","308","11.738824472663351","12.32","3.1179480431848123","61.6","2.34776489453267","11952.2","860.3787305599784","1091","77.25412610339981"
"500","10","20","5000","100","56","43.05938855154065","1.8813497077082713","14.058335791359331","0.333398876755553","6095.7","77.34345479741644","5783.8","63.71153741670342","307.6","11.689311356961968","11.28","2.8554509276119595","61.52","2.3378622713923933","12009","850.4980893570544","1095.7","77.34345479741644"
"500","10","20","5000","100","57","43.140792789486895","1.883691849298607","14.033502079465535","0.3336902829910747","6099.8","78.13296359411949","5805.3","64.79513870654188","306.8","11.178550889985697","10.34","2.4133793734098252","61.36","2.235710177997139","12038.9","841.4649665910042","1099.8","78.13296359411949"
"500","10","20","5000","100","58","43.20666466387489","1.882227888825435","14.011079598113636","0.3325867524605228","6105.1","79.2331370071891","5826","67.8159273327439","306.5","11.438968484964018","9.820000000000002","2.5083062014036486","61.3","2.287793696992802","12074.9","814.9699933126373","1105.1","79.2331370071891"
"500","10","20","5000","100","59","43.26475538863112","1.881866020894022","13.990736727296976","0.3310054369255418","6110.2","79.88466686417362","5845.1","67.47658853261626","306.2","11.303096920755834","9.040000000000001","2.4013329631685814","61.239999999999995","2.260619384151165","12089.3","824.6991027035255","1110.2","79.88466686417362"
"500","10","20","5000","100","60","43.3200305909718","1.878364148978446","13.969468693503108","0.33165049992831647","6115.3","80.1024968399862","5863.9","66.74196580862748","305.4","11.11035552986492","8.3","2.279034883453959","61.08","2.2220711059729825","12133.8","846.6288206764519","1115.3","80.1024968399862"
"500","10","20","5000","100","61","43.364456020919505","1.8812098515541755","13.948414314365873","0.3285139652808928","6120","79.74584628681295","5878.7","65.27028420345663","304.6","11.637869220780924","7.540000000000001","2.1541587685219494","60.92","2.327573844156185","12175.6","849.3639031651863","1120","79.74584628681295"
"500","10","20","5000","100","62","43.3976157925094","1.8822227303635142","13.933145626075873","0.3273585763284883","6123.1","78.72159805288508","5894.3","65.78001216175016","304.3","11.506954418958998","7.039999999999999","2.262388118780683","60.86","2.301390883791799","12228.4","834.1369431933824","1123.1","78.72159805288508"
"500","10","20","5000","100","63","43.43882552546932","1.879618890028119","13.912138036994145","0.3252974261900699","6126.7","78.01288355137247","5906","66.1921445490324","303.8","11.855800268223145","6.42","2.1917116598676936","60.760000000000005","2.3711600536446276","12263.8","857.0492167897944","1126.7","78.01288355137247"
"500","10","20","5000","100","64","43.46741415477605","1.872953019174277","13.893758384531816","0.3243486298145857","6130.8","77.9574242776145","5915.5","65.57934125927157","303.8","11.855800268223145","6.159999999999999","2.1387847016471757","60.760000000000005","2.3711600536446276","12301.1","877.1880585142503","1130.8","77.9574242776145"
"500","10","20","5000","100","65","43.496227380390145","1.874305763916293","13.875109830378136","0.3232755094533948","6135.3","78.5570493335894","5924.5","67.55479257610077","303.6","12.142487389328434","5.84","1.9794948850653795","60.720000000000006","2.428497477865686","12341.3","857.2418620202819","1135.3","78.55704933358942"
"500","10","20","5000","100","66","43.528049677126816","1.8714102425879626","13.85803604526294","0.324447805951028","6140.8","79.09841970608515","5935.9","68.7029111464718","303.1","11.978731151503483","5.4799999999999995","2.0043951706188077","60.61999999999999","2.3957462303006967","12344.7","858.3199927765868","1140.8","79.09841970608515"
"500","10","20","5000","100","67","43.5420952368299","1.8610865477545757","13.840223149354212","0.3279456804762558","6145.5","80.14018966785642","5945.9","73.40088555324111","302.8","11.881077392223318","5.200000000000001","2.0707486568871656","60.56","2.3762154784446636","12371.1","857.7644723349177","1145.5","80.14018966785642"
"500","10","20","5000","100","68","43.55904758613849","1.8537150087037895","13.826823385280761","0.32684825800185313","6149","81.41621460126969","5956.6","74.94024286056191","302.6","11.78303865732435","4.700000000000001","2.193171219946131","60.52","2.35660773146487","12377.9","859.6926718310445","1149","81.41621460126969"
