"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"FinalProject.nlogo"
"Effect of Water Density on Dengue Spread (20% density)"
"05/27/2025 01:09:35:721 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","35","0","35"
"[run number]","init-total-humans","init-n-turtles-infected","water-density","init-total-mosquitoes","max-ticks","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae"
"3","500","10","20","5000","100","7","2.263182454503033","6.649556696220252","5061","1177","498","18.2","18.2","3230","61"
"8","500","10","20","5000","100","4","0.831353919239905","2.7315914489311166","5000","696","500","6","6","2161","0"
"10","500","10","20","5000","100","7","1.3626583791537175","4.207506574229022","5103","1161","500","11.799999999999999","11.799999999999999","3036","103"
"6","500","10","20","5000","100","4","0.7346938775510203","2.571428571428571","5000","665","500","5.4","5.4","1934","0"
"5","500","10","20","5000","100","4","0.46783625730994155","2.7680311890838207","5000","693","500","4.3999999999999995","4.3999999999999995","2087","0"
"7","500","10","20","5000","100","4","0.506033476060724","2.88049824834566","5000","690","500","4.3999999999999995","4.3999999999999995","2126","0"
"9","500","10","20","5000","100","7","1.2790697674418605","4.1395348837209305","5113","1196","500","10.6","11.600000000000001","3465","113"
"4","500","10","20","5000","100","3","0.15166835187057634","2.3761375126390294","5000","512","500","2.6","2.6","1220","0"
"10","500","10","20","5000","100","8","1.7731254005554369","5.340739158299509","5131","1308","500","15.6","16.2","3475","131"
"3","500","10","20","5000","100","8","3.0359355638166043","8.21974390747625","5097","1357","498","25","25.6","3702","97"
"5","500","10","20","5000","100","5","0.8376288659793815","2.931701030927835","5015","886","500","7.000000000000001","7.000000000000001","2511","15"
"6","500","10","20","5000","100","5","0.9210526315789472","3.1907894736842106","5026","813","500","7.199999999999999","7.199999999999999","2339","26"
"9","500","10","20","5000","100","8","1.8271402176144529","5.0913570108807225","5151","1376","499","15.4","17.2","4079","151"
"1","500","10","20","5000","100","5","1.2289780077619665","3.945666235446313","5022","805","500","9.4","9.4","2170","22"
"10","500","10","20","5000","100","9","2.3563218390804597","6.570881226053641","5166","1470","499","20","21.2","4281","166"
"2","500","10","20","5000","100","4","1.0180109631949883","3.288958496476116","5000","667","500","6.800000000000001","6.800000000000001","2398","0"
"3","500","10","20","5000","100","9","3.7365540668050574","10.039630118890356","5133","1518","495","30","31.4","4497","133"
"8","500","10","20","5000","100","5","1.1192836584585866","3.45378957467221","5024","849","500","8.4","8.4","2648","24"
"5","500","10","20","5000","100","6","1.1147362697118","4.105492115280043","5050","1036","500","9.4","9.4","2957","50"
"7","500","10","20","5000","100","5","0.8059316569954869","3.5138620245003223","5020","858","500","6.6000000000000005","6.6000000000000005","2547","20"
"9","500","10","20","5000","100","9","2.2760917838638046","6.217616580310881","5198","1519","499","20.8","23","4301","198"
"6","500","10","20","5000","100","6","1.1083402604599613","3.768356885563868","5044","973","500","9.4","9.4","2732","44"
"4","500","10","20","5000","100","4","0.6203955021326095","2.44280728964715","5000","675","500","5","5","1807","0"
"1","500","10","20","5000","100","6","1.4317180616740088","4.570484581497798","5046","987","500","12","12","2686","46"
"10","500","10","20","5000","100","10","3.0734106076571828","7.709870038637162","5222","1623","499","25","27","4517","222"
"3","500","10","20","5000","100","10","5.185825410544512","11.616248919619707","5180","1697","495","40","42.8","5056","180"
"5","500","10","20","5000","100","7","1.6335227272727273","4.900568181818182","5088","1197","500","13.4","13.8","3379","88"
"8","500","10","20","5000","100","6","1.2951969778737182","4.371289800323799","5067","1026","500","11","11","3817","67"
