"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"FinalProject.nlogo"
"Effect of Water Density on Dengue Spread (30% density)"
"05/27/2025 01:10:48:650 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","35","0","35"
"[mean]","50.5","36.36649234797996","13.230981357658473","6441.607843137255","5083.696078431372","353.3627450980392","27.28039215686274","58.770588235294056","16253.343137254902","1441.6078431372548","50.5","34.44866175858053","12.79884016423181","6264.450980392156","4996.598039215686","357.9901960784314","25.245098039215687","59.403921568627425","15205.450980392157","1264.450980392157","50.5","37.720741152924724","13.596280723390358","6571.5392156862745","5176.362745098039","343.5980392156863","22.854901960784318","57.42156862745109","18155.352941176472","1571.5392156862745","50.5","38.62605600252761","14.203170661322806","6236.107843137255","4985.019607843137","350.2549019607843","28.368627450980394","59.46078431372547","14185.823529411764","1236.1078431372548","50.5","37.215238015644246","13.41127769897289","6561.705882352941","5147.78431372549","355.2156862745098","25.59019607843136","59.65098039215686","18045.36274509804","1561.7058823529412","50.5","36.96588698823898","13.172663381372171","6755.735294117647","5267.6274509803925","360.12745098039215","25.958823529411752","60.025490196078465","19449.41176470588","1755.735294117647","50.5","37.44604496169278","13.449980220404543","6564.058823529412","5170.411764705882","357.94117647058823","20.045098039215684","60.55294117647069","18054.607843137255","1564.0588235294117","50.5","37.395389160042626","13.717274219789818","6437.774509803921","5091.519607843137","344.9117647058824","23.941176470588225","57.75098039215688","17144.264705882353","1437.7745098039215","50.5","38.281049250681974","13.546492634167985","6665.941176470588","5238.166666666667","334.0098039215686","25.527450980392167","55.13921568627449","18813.71568627451","1665.9411764705883","50.5","36.15654092313876","12.968729609363503","6729.676470588235","5242.196078431372","356.2647058823529","26.72745098039215","58.97450980392149","19434.71568627451","1729.6764705882354"
"[total steps]","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101"

"[all run data]","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae"
,"0","0","0","5000","0","500","0","0","0","0","0","0","0","5000","0","500","0","0","0","0","0","0","0","5000","0","500","0","0","0","0","0","0","0","5000","0","500","0","0","0","0","0","0","0","5000","0","500","0","0","0","0","0","0","0","5000","0","500","0","0","0","0","0","0","0","5000","0","500","0","0","0","0","0","0","0","5000","0","500","0","0","0","0","0","0","0","5000","0","500","0","0","0","0","0","0","0","5000","0","500","0","0","0","0"
,"1","0.301659125188537","1.9607843137254901","5000","163","500","2.4","2.4","917","0","1","0.30075187969924816","1.8045112781954888","5000","188","500","2.4","2.4","1145","0","1","0.322061191626409","1.932367149758454","5000","172","500","2.4","2.4","1253","0","1","0.7518796992481203","3.6090225563909777","5000","188","500","3","3","835","0","1","0.14367816091954022","2.0114942528735633","5000","177","500","2.1999999999999997","2.1999999999999997","989","0","1","0","1.1412268188302426","5000","156","500","2","2","1102","0","1","0.2976190476190476","2.8273809523809526","5000","139","500","2.4","2.4","893","0","1","0.14947683109118087","2.391629297458894","5000","155","500","2.1999999999999997","2.1999999999999997","344","0","1","0.1457725947521866","2.0408163265306123","5000","173","500","2.1999999999999997","2.1999999999999997","782","0","1","0","1.1544011544011543","5000","156","500","2","2","436","0"
,"2","0.22607385079125847","2.4868123587038435","5000","325","500","2.6","2.6","1538","0","2","0.15048908954100826","2.0316027088036117","5000","341","500","2.4","2.4","2020","0","2","0.38461538461538464","2.769230769230769","5000","344","500","3","3","2187","0","2","0.3748125937031484","3.2983508245877062","5000","349","500","3","3","1394","0","2","0.2245508982035928","1.7964071856287425","5000","332","500","2.6","2.6","1770","0","2","0.07429420505200594","1.634472511144131","5000","307","500","2.1999999999999997","2.1999999999999997","2132","0","2","0.3009781790820165","2.558314522197141","5000","314","500","2.8000000000000003","2.8000000000000003","1809","0","2","0.15232292460015232","2.817974105102818","5000","314","500","2.4","2.4","903","0","2","0.1549186676994578","2.5561580170410534","5000","334","500","2.4","2.4","1613","0","2","0.07320644216691069","1.4641288433382138","5000","311","500","2.1999999999999997","2.1999999999999997","1774","0"
,"3","0.15166835187057634","2.3761375126390294","5000","500","500","2.6","2.6","2182","0","3","0.2047082906857728","2.1494370522006143","5000","495","500","2.8000000000000003","2.8000000000000003","2610","0","3","0.25853154084798347","2.688728024819028","5000","510","500","3","3","2939","0","3","0.2547121752419766","3.413143148242486","5000","516","500","3","3","2039","0","3","0.2564102564102564","2.41025641025641","5000","504","500","3","3","2075","0","3","0.10188487009679062","2.1905247070809986","5000","446","500","2.4","2.4","2837","0","3","0.30303030303030304","2.8282828282828283","5000","459","500","3.2","3.2","2321","0","3","0.1529831718510964","2.6007139214686386","5000","469","500","2.6","2.6","1961","0","3","0.2075765438505449","2.4909185262065385","5000","498","499","2.6","2.6","2800","0","3","0.14940239043824702","1.643426294820717","5000","493","500","2.6","2.6","2093","0"
,"4","0.5415860735009671","2.746615087040619","5000","657","500","4.8","4.8","2788","0","4","0.546875","2.3828125","5000","641","500","4.3999999999999995","4.3999999999999995","3121","0","4","0.641025641025641","3.165064102564102","5000","669","500","5.2","5.2","4040","0","4","1.09375","4.21875","5000","706","500","7.3999999999999995","7.3999999999999995","2737","0","4","0.7012076353720296","2.9606544604596805","5000","660","500","5.4","5.4","2987","0","4","0.34775888717156106","2.58887171561051","5000","587","500","3.5999999999999996","3.5999999999999996","3264","0","4","0.8897485493230174","3.3655705996131524","5000","628","500","6.4","6.4","3474","0","4","0.5827505827505828","2.836052836052836","5000","647","499","4.6","4.6","3040","0","4","0.54858934169279","2.5470219435736676","5000","667","499","4.3999999999999995","4.3999999999999995","3201","0","4","0.3076923076923077","1.9615384615384615","5000","657","500","3.5999999999999996","3.5999999999999996","2501","0"
,"5","0.9959539371304078","3.143479614067849","5038","807","500","8.200000000000001","8.200000000000001","3221","38","5","0.8274984086569064","2.8644175684277533","5029","813","500","6.800000000000001","6.800000000000001","3609","29","5","1.1268512556342563","3.670315518351577","5046","839","500","8.799999999999999","8.799999999999999","5426","46","5","1.4267596702599872","5.168040583386176","5028","876","500","10.4","10.4","3130","28","5","0.7916402786573782","3.356554781507283","5040","813","500","6.800000000000001","6.800000000000001","3981","40","5","0.7239534151715455","3.1161473087818696","5052","759","500","6.2","6.2","4451","52","5","1.1620603015075377","4.0201005025125625","5028","817","500","9","9","4330","28","5","1.1150047785919084","3.6317298502707867","5011","820","499","8.200000000000001","8.200000000000001","3872","11","5","0.901481004507405","3.1229877656149387","5029","844","499","6.800000000000001","6.800000000000001","3707","29","5","0.6570713391739674","2.5031289111389237","5018","811","500","5.800000000000001","5.800000000000001","3630","18"
