"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"FinalProject.nlogo"
"Effect of Water Density on Dengue Spread (30% density)"
"05/27/2025 01:10:48:692 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","35","0","35"
"init-total-humans","init-n-turtles-infected","water-density","init-total-mosquitoes","max-ticks","[step]","(mean) mosquito_to_human_rate","(std) mosquito_to_human_rate","(mean) human_to_mosquito_rate","(std) human_to_mosquito_rate","(mean) total-mosquitoes","(std) total-mosquitoes","(mean) mosquito-death-toll","(std) mosquito-death-toll","(mean) cur-human-population","(std) cur-human-population","(mean) %infected-humans","(std) %infected-humans","(mean) %recovered-humans","(std) %recovered-humans","(mean) total-larvae","(std) total-larvae","(mean) total-hatched-larvae","(std) total-hatched-larvae"
"500","10","30","5000","100","0","0","0","0","0","5000","0","0","0","500","0","0","0","0","0","0","0","0","0"
"500","10","30","5000","100","1","0.24128985301442696","0.20520769147693027","2.087363410054583","0.696363229024329","5000","0","166.7","14.926821496889417","500","0","2.3199999999999994","0.2712931993250108","2.3199999999999994","0.2712931993250108","869.6","276.9542200436744","0","0"
"500","10","30","5000","100","2","0.2116262235454936","0.10649182637632401","2.3413451845778033","0.5570078322100921","5000","0","327.1","14.286007139855418","500","0","2.56","0.28000000000000014","2.56","0.28000000000000014","1714","361.82150295415005","0","0"
"500","10","30","5000","100","3","0.20409078943235476","0.06071423008654098","2.479156842601729","0.44259274330892495","5000","0","489","21.90433747000808","499.9","0.3","2.7800000000000002","0.24413111231467408","2.7800000000000002","0.24413111231467408","2385.7","354.9966337868572","0","0"
"500","10","30","5000","100","4","0.6200984018528896","0.222232835567517","2.8772951706453034","0.5849652855768116","5000","0","651.9","29.139148923741754","499.8","0.39999999999999997","4.9799999999999995","1.1294246322796402","4.9799999999999995","1.1294246322796402","3115.3","407.79358749249604","0","0"
"500","10","30","5000","100","5","0.97282743892913","0.22517014364508123","3.4596902404059717","0.7012743191826556","5031.9","11.759676866308869","819.9","28.549781084975066","499.8","0.39999999999999997","7.700000000000001","1.3776792079435618","7.700000000000001","1.3776792079435618","3935.7","637.2243011687486","31.9","11.759676866308869"
"500","10","30","5000","100","6","1.2118481705011113","0.21877201605147473","4.328645136936335","0.8420417474627384","5079.8","21.460661685977907","987.3","29.526428839261953","499.6","0.6633249580710799","9.96","1.7338973441354597","9.96","1.7338973441354597","4672.5","737.8586924337206","79.8","21.460661685977904"
"500","10","30","5000","100","7","1.7373066543019504","0.3596271514475188","5.383532263135573","0.8088147353831953","5138.3","28.34801580357962","1153.6","29.7597042996062","499.3","0.9","14.36","2.5546819762937227","14.719999999999999","2.5427544120500505","5412.2","783.7620557286504","138.3","28.34801580357962"
"500","10","30","5000","100","8","2.3357266228035742","0.4691837497122683","6.6421794735234885","0.9580544298507462","5201","35.230668458035254","1320","30.053286010018937","499","1","19.08","3.0844124237851203","20.16","3.246906219772909","6012.4","724.9334038378973","201","35.230668458035254"
"500","10","30","5000","100","9","3.050643806242946","0.6001295510726316","7.943107201567545","1.0788904434603164","5271.4","47.98999895811626","1484.8","35.56065241246285","498","1.4832396974191326","24.800000000000004","3.4269519984966226","26.419999999999995","3.509358915813541","6687.2","593.3996629591223","271.4","47.98999895811626"
