"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"FinalProject.nlogo"
"Effect of Water Density on Dengue Spread (40% density)"
"05/27/2025 01:12:13:054 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","35","0","35"
"init-total-humans","init-n-turtles-infected","water-density","init-total-mosquitoes","max-ticks","[step]","(mean) mosquito_to_human_rate","(std) mosquito_to_human_rate","(mean) human_to_mosquito_rate","(std) human_to_mosquito_rate","(mean) total-mosquitoes","(std) total-mosquitoes","(mean) mosquito-death-toll","(std) mosquito-death-toll","(mean) cur-human-population","(std) cur-human-population","(mean) %infected-humans","(std) %infected-humans","(mean) %recovered-humans","(std) %recovered-humans","(mean) total-larvae","(std) total-larvae","(mean) total-hatched-larvae","(std) total-hatched-larvae"
"500","10","40","5000","100","15","12.084011885104673","2.098071518279518","16.79825221754202","1.7258390824588539","5864.4","98.30178024837596","2512.7","20.95733761716884","477.5","7.172865536171719","69.94","4.961491711169132","75.76","4.528840911314948","13378.8","1397.9956938417229","864.4","98.30178024837598"
"500","10","40","5000","100","16","14.488118544640121","2.2461046906499202","17.557712651414427","1.5747155250661862","5939","103.52777405121778","2673.9","22.38950647066612","469","7.3484692283495345","74.52000000000001","4.014174884082657","80.72","3.3228903081504186","14073.2","1353.0734495954016","939","103.52777405121778"
"500","10","40","5000","100","17","16.90943085843147","2.4172955268081235","18.06573242601628","1.3292407904556731","6008.4","108.18151413249863","2843.1","21.888124634148078","459","9.327379053088816","77.7","2.8400704216621127","83.68","2.3378622713923907","14761.1","1332.8875759042844","1008.4","108.18151413249863"
"500","10","40","5000","100","18","19.323428488796132","2.5556950852315463","18.29423715813056","1.1592920358953998","6085.1","114.62586968045215","3010.9","22.18760915466108","449.2","11.01635148313633","78.76","2.0135540717845184","84.47999999999999","2.0979990467109357","15519.8","1526.0811118679112","1085.1","114.62586968045215"
"500","10","40","5000","100","19","21.69069453613374","2.59405531336381","18.339989003065185","1.0110600330061994","6158.5","120.42943992230471","3170.7","25.849758219372188","439.8","11.643023662262308","79.02000000000001","1.5529327094243326","84.5","1.593110165682208","16214.4","1587.158920839372","1158.5","120.42943992230471"
"500","10","40","5000","100","20","23.948935888392306","2.518754397857697","18.28952197753777","0.8961611514156569","6224.6","121.32782038757641","3336.3","22.203828498707157","429.6","12.499599993599796","78.86000000000001","1.2807810117268321","83.9","1.8873261509341719","16789.8","1733.2266903091472","1224.6","121.32782038757641"
"500","10","40","5000","100","21","25.990677316921296","2.5513333583134554","18.174134804360072","0.8236981931056772","6287.6","119.52087683747973","3507.7","16.118622769951536","421.9","12.453513560437472","78.54","1.4284257068535307","83.08000000000001","2.20762315624746","17476.4","1711.666860110343","1287.6","119.52087683747973"
"500","10","40","5000","100","22","27.952684585593545","2.5285091833162383","17.973716739754927","0.7750869453339773","6353.8","128.37429649271695","3669.3","21.000238093888367","414.8","12.781236246936365","78.16","1.1757550765359273","82.22","2.3890583919192894","18106.1","1652.3600969522352","1353.8","128.37429649271695"
"500","10","40","5000","100","23","29.741657292940623","2.475842637497579","17.783912472293963","0.7360798899540072","6415.8","136.7909353721949","3833.4","18.969449122207003","405.8","12.718490476467716","77.06","1.736778627229158","80.74","2.4067405344157873","18792.3","1632.0361546240329","1415.8","136.7909353721949"
"500","10","40","5000","100","24","31.30326370463348","2.499137527447043","17.618216659680268","0.6904657326340811","6473.9","142.64532940128112","4003.5","22.437691503361034","397.4","11.99333148045196","76.16","2.0155396299750605","79.18000000000002","2.3020860105565135","19378.4","1706.9959109499941","1473.9","142.64532940128115"
