"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"FinalProject.nlogo"
"Effect of Water Density on Dengue Spread (40% density)"
"05/27/2025 01:11:47:598 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","35","0","35"
"[run number]","init-total-humans","init-n-turtles-infected","water-density","init-total-mosquitoes","max-ticks","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae"
"3","500","10","40","5000","100","0","0","0","5000","0","500","0","0","0","0"
"4","500","10","40","5000","100","0","0","0","5000","0","500","0","0","0","0"
"5","500","10","40","5000","100","0","0","0","5000","0","500","0","0","0","0"
"7","500","10","40","5000","100","0","0","0","5000","0","500","0","0","0","0"
"2","500","10","40","5000","100","0","0","0","5000","0","500","0","0","0","0"
"6","500","10","40","5000","100","0","0","0","5000","0","500","0","0","0","0"
"9","500","10","40","5000","100","0","0","0","5000","0","500","0","0","0","0"
"1","500","10","40","5000","100","0","0","0","5000","0","500","0","0","0","0"
"8","500","10","40","5000","100","0","0","0","5000","0","500","0","0","0","0"
"10","500","10","40","5000","100","0","0","0","5000","0","500","0","0","0","0"
"3","500","10","40","5000","100","1","0","1.6793893129770994","5000","158","500","2","2","620","0"
"5","500","10","40","5000","100","1","0.4531722054380665","2.2658610271903323","5000","163","500","2.6","2.6","720","0"
"4","500","10","40","5000","100","1","0.3129890453834116","2.503912363067293","5000","159","500","2.4","2.4","1391","0"
"8","500","10","40","5000","100","1","0","0.6279434850863422","5000","168","500","2","2","443","0"
"6","500","10","40","5000","100","1","0.14970059880239522","3.8922155688622757","5000","161","500","2.1999999999999997","2.1999999999999997","861","0"
"1","500","10","40","5000","100","1","0.3284072249589491","2.7914614121510675","5000","152","500","2.4","2.4","1596","0"
"10","500","10","40","5000","100","1","0.29455081001472755","2.2091310751104567","5000","163","500","2.4","2.4","1104","0"
"3","500","10","40","5000","100","2","0.1558846453624318","2.1823850350740455","5000","302","500","2.4","2.4","1571","0"
