(mean) mosquito_to_human_rate,(std) mosquito_to_human_rate,(mean) human_to_mosquito_rate,(std) human_to_mosquito_rate,(mean) total-mosquitoes,(std) total-mosquitoes,(mean) mosquito-death-toll,(std) mosquito-death-toll,(mean) cur-human-population,(std) cur-human-population,(mean) %infected-humans,(std) %infected-humans,(mean) %recovered-humans,(std) %recovered-humans,(mean) total-larvae,(std) total-larvae,(mean) total-hatched-larvae,(std) total-hatched-larvae
0,0,0,0,5000,0,0,0,500,0,0,0,0,0,0,0,0,0
0.207581598,0.116914916,2.156728917,0.5215145,5000,0,168.1,11.2200713,500,0,2.28,0.16,2.28,0.16,1212,318.4958398,0,0
0.213538722,0.08171618,2.359493668,0.365322328,5000,0,333.9,13.33004126,500,0,2.56,0.215406592,2.56,0.215406592,2482.7,316.8848529,0,0
0.216289873,0.088663675,2.495532218,0.293279164,5000,0,498.2,16.10465771,500,0,2.82,0.315594677,2.82,0.315594677,3837.6,469.8853477,0,0
0.694513827,0.14655924,2.851555372,0.301814972,5000,0,660.9,12.3081274,500,0,5.36,0.757891813,5.36,0.757891813,5142,539.1734415,0,0
1.01011332,0.137092652,3.456700158,0.476924964,5044.3,11.1718396,831.8,16.19753068,500,0,7.8,0.885437745,7.8,0.885437745,6530.5,635.9313249,44.3,11.1718396
1.243838558,0.142226767,4.360301465,0.604829837,5116.4,19.47408534,1002.6,13.87948126,499.8,0.4,10.26,1.077218641,10.26,1.077218641,7871.4,678.406987,116.4,19.47408534
1.765716212,0.215614779,5.373495947,0.771926757,5210.8,33.7277334,1170.7,13.48369386,499.4,0.663324958,14.5,1.448447445,14.92,1.526302722,8990.6,742.1058146,210.8,33.7277334
2.372666182,0.322221509,6.604220718,0.813768394,5317.8,39.5898977,1340.4,16.49363514,499.2,0.748331477,19.7,2.139626136,20.66,2.061164719,10031.4,791.8702166,317.8,39.5898977
3.101152813,0.419958423,8.044544534,0.901729281,5444.5,45.6360603,1512.3,25.51489761,499,0.894427191,25.84,2.89108976,27.4,2.794279871,11054.9,948.2695239,444.5,45.6360603
4.087534841,0.620671164,9.566263394,0.991502963,5572.1,55.34699631,1678.8,29.81878602,498.1,1.3,32.78,3.750679938,35.4,3.595552809,12160.2,1005.257161,572.1,55.34699631
5.289125019,0.735262428,11.30836787,0.981048651,5691.3,64.28693491,1843.5,31.40461749,495.9,2.256102835,41.04,3.968677362,44.3,3.69134122,13236,1024.424424,691.3,64.28693491
