(mean) mosquito_to_human_rate,(std) mosquito_to_human_rate,(mean) human_to_mosquito_rate,(std) human_to_mosquito_rate,(mean) total-mosquitoes,(std) total-mosquitoes,(mean) mosquito-death-toll,(std) mosquito-death-toll,(mean) cur-human-population,(std) cur-human-population,(mean) %infected-humans,(std) %infected-humans,(mean) %recovered-humans,(std) %recovered-humans,(mean) total-larvae,(std) total-larvae,(mean) total-hatched-larvae,(std) total-hatched-larvae
0,0,0,0,5000,0,0,0,500,0,0,0,0,0,0,0,0,0
0.185034939,0.150497656,2.120879929,0.821120986,5000,0,164.8,11.57410904,500,0,2.24,0.195959179,2.24,0.195959179,900.4,340.8733489,0,0
0.208292062,0.097782163,2.130118787,0.522178156,5000,0,327.6,13.01691208,500,0,2.54,0.253771551,2.54,0.253771551,1926.1,473.7620605,0,0
0.228834143,0.062543441,2.371817012,0.465548104,5000,0,487.7,22.63647499,500,0,2.86,0.237486842,2.86,0.237486842,2972.4,538.3997028,0,0
0.656311029,0.22019202,2.691848446,0.509523965,5000,0,658.1,21.8194867,499.9,0.3,5.04,1.026839812,5.04,1.026839812,4112.1,718.2671439,0,0
0.909010575,0.225523458,3.309004672,0.786176455,5029.4,11.87602627,826.9,30.67719022,499.9,0.3,7.2,1.317573527,7.2,1.317573527,5235.3,882.7103772,29.4,11.87602627
1.143350036,0.235820293,4.02311114,1.018744148,5087.5,27.62697957,994.7,31.7995283,499.9,0.3,9.58,1.560640894,9.58,1.560640894,6317,965.0788569,87.5,27.62697957
1.612658503,0.337672414,5.094585426,1.10067894,5161.1,41.02547989,1165.9,29.84778049,499.7,0.458257569,13.28,2.301651581,13.88,2.273675439,7147.6,1054.028292,161.1,41.02547989
2.167709491,0.465198208,6.260141036,1.386465431,5253.8,52.88062027,1337.6,33.78816361,499.3,0.640312424,18.08,3.176413071,19.16,3.14426462,7819.8,985.7308761,253.8,52.88062027
2.837559426,0.640041394,7.592387872,1.690080823,5354.5,66.96304951,1498.2,27.75535984,498.1,1.135781669,23.5,4.272001873,25.06,4.294228685,8640.5,1009.269265,354.5,66.96304951
3.822049946,0.813170604,9.185847189,1.847510168,5460.4,75.88965674,1662.5,28.34166544,496.7,1.615549442,31.46,4.844832298,33.68,4.918699015,9565,1131.832673,460.4,75.88965674
4.961113292,1.109508927,10.80381582,1.934888524,5550.6,80.11142241,1841.9,21.90182641,495.1,2.547547841,40.7,5.937844727,43.22,5.809268457,10299.3,1296.776006,550.6,80.11142241
6.310618119,1.388718597,12.61129368,1.944195751,5632.1,85.3,2008,29.7052184,491.5,3.930648801,48.98,6.985384742,52.26,7.00174264,11118.4,1333.91463,632.1,85.3
8.012839531,1.589393747,14.24776101,1.908440462,5704.3,87.63224292,2178.6,28.95582843,488.9,4.721228654,57.82,6.844822861,61.8,6.808230313,11835.2,1348.515243,704.3,87.63224292
9.970632868,1.837663984,15.72170853,1.799804608,5786.4,96.32984999,2344.6,23.62710308,483.3,6.481512169,64.54,5.574979821,69.82,5.326499789,12663.2,1399.959985,786.4,96.32984999
12.08401189,2.098071518,16.79825222,1.725839082,5864.4,98.30178025,2512.7,20.95733762,477.5,7.172865536,69.94,4.961491711,75.76,4.528840911,13378.8,1397.995694,864.4,98.30178025
14.48811854,2.246104691,17.55771265,1.574715525,5939,103.5277741,2673.9,22.38950647,469,7.348469228,74.52,4.014174884,80.72,3.322890308,14073.2,1353.07345,939,103.5277741
16.90943086,2.417295527,18.06573243,1.32924079,6008.4,108.1815141,2843.1,21.88812463,459,9.327379053,77.7,2.840070422,83.68,2.337862271,14761.1,1332.887576,1008.4,108.1815141
19.32342849,2.555695085,18.29423716,1.159292036,6085.1,114.6258697,3010.9,22.18760915,449.2,11.01635148,78.76,2.013554072,84.48,2.097999047,15519.8,1526.081112,1085.1,114.6258697
21.69069454,2.594055313,18.339989,1.011060033,6158.5,120.4294399,3170.7,25.84975822,439.8,11.64302366,79.02,1.552932709,84.5,1.593110166,16214.4,1587.158921,1158.5,120.4294399
23.94893589,2.518754398,18.28952198,0.896161151,6224.6,121.3278204,3336.3,22.2038285,429.6,12.49959999,78.86,1.280781012,83.9,1.887326151,16789.8,1733.22669,1224.6,121.3278204
25.99067732,2.551333358,18.1741348,0.823698193,6287.6,119.5208768,3507.7,16.11862277,421.9,12.45351356,78.54,1.428425707,83.08,2.207623156,17476.4,1711.66686,1287.6,119.5208768
27.95268459,2.528509183,17.97371674,0.775086945,6353.8,128.3742965,3669.3,21.00023809,414.8,12.78123625,78.16,1.175755077,82.22,2.389058392,18106.1,1652.360097,1353.8,128.3742965
29.74165729,2.475842637,17.78391247,0.73607989,6415.8,136.7909354,3833.4,18.96944912,405.8,12.71849048,77.06,1.736778627,80.74,2.406740534,18792.3,1632.036155,1415.8,136.7909354
31.3032637,2.499137527,17.61821666,0.690465733,6473.9,142.6453294,4003.5,22.4376915,397.4,11.99333148,76.16,2.01553963,79.18,2.302086011,19378.4,1706.995911,1473.9,142.6453294
32.76958047,2.459120583,17.45243815,0.670650086,6535.7,149.2421187,4172.1,27.40966983,387.3,12.12476804,74.72,1.833466662,77.28,2.318965287,19760.9,1721.857047,1535.7,149.2421187
34.11203464,2.412759673,17.28316848,0.659185728,6593.7,151.4265829,4332.9,28.33531366,379.6,13.20757358,73.42,2.279385882,75.82,2.616027523,20203.5,1686.886614,1593.7,151.4265829
35.30980775,2.40813302,17.14921115,0.636044304,6647.8,153.9173804,4499.8,18.25267104,371.7,12.68108828,71.8,2.276839915,74.3,2.525470253,20603.5,1598.001643,1647.8,153.9173804
36.36961772,2.385023765,17.03338412,0.615324381,6709,156.8017857,4667.3,11.86633895,365.1,11.3,70.1,2.440081966,73.02,2.26,21079.9,1495.411813,1709,156.8017857
37.33380835,2.372502512,16.92172631,0.587677618,6760.1,156.1188329,4836,9.715966241,359.8,11.46123903,68.7,2.783163667,71.96,2.292247805,21482.1,1485.218129,1760.1,156.1188329
38.18035647,2.399484948,16.84391259,0.546545878,6805.9,157.8445121,5000,0,353.3,10.96403211,66.52,2.814533709,70.66,2.192806421,21949.3,1501.870637,1805.9,157.8445121
39.04320303,2.397068364,16.74881087,0.509279786,6850.3,155.8538097,5000,0,348.1,11.5277925,64.54,3.18,69.62,2.305558501,22319.9,1419.487686,1850.3,155.8538097
39.91726811,2.367973217,16.62900466,0.499646549,6893.6,149.6804596,5000,0,343.2,11.64302366,62.28,3.435345689,68.64,2.328604732,22759.5,1489.407416,1893.6,149.6804596
40.78629777,2.366005705,16.49519882,0.472759058,6931.6,148.9115174,5000,0,339.8,10.74988372,59.62,3.673091341,67.96,2.149976744,23303.3,1421.620839,1931.6,148.9115174
41.64658001,2.341073989,16.34831919,0.47312942,6975.1,145.3185811,5000,0,336.6,10.70700705,57.02,3.583796869,67.32,2.14140141,23761.1,1339.463434,1975.1,145.3185811
42.48847647,2.320853244,16.19887456,0.44476186,7014.1,142.0756489,5029.4,11.87602627,333.3,10.63061616,54.02,3.433307443,66.66,2.126123233,24142.9,1360.065987,2014.1,142.0756489
43.30102775,2.316010006,16.04082235,0.434877028,7055.4,142.320905,5087.5,27.62697957,329.3,10.73359213,51.16,3.535873301,65.86,2.146718426,24513.5,1352.981837,2055.4,142.320905
44.07793641,2.305890243,15.89129855,0.428676359,7099.7,139.3391905,5161.1,41.02547989,325.5,11.34239834,48.02,4.016416313,65.1,2.268479667,24970,1374.278065,2099.7,139.3391905
44.78255156,2.261521019,15.76177422,0.413282592,7141,135.6561831,5253.8,52.88062027,322.3,11.79872875,45.16,4.035641213,64.46,2.359745749,25326.6,1508.151398,2141,135.6561831
45.44211113,2.233257023,15.63725035,0.410666411,7183.4,132.3557328,5354.5,66.96304951,320.2,11.99833322,42.54,3.94060909,64.04,2.399666644,25741.4,1487.023282,2183.4,132.3557328
46.0473734,2.225151251,15.51879682,0.404336464,7223.2,131.7723795,5460.4,75.88965674,317.8,12.15565712,40.06,4.001049862,63.56,2.431131424,26175.7,1550.564417,2223.2,131.7723795
46.5962567,2.187662427,15.41217578,0.399272424,7265.2,133.7129762,5550.6,80.11142241,315.2,12.36769987,37.14,4.377259417,63.04,2.473539973,26527.4,1556.240997,2265.2,133.7129762
47.12022859,2.160084712,15.30839084,0.401918884,7300.4,138.5331729,5632.1,85.3,312.5,11.88486432,34.72,4.770073375,62.5,2.376972865,26848.2,1622.971583,2300.4,138.5331729
