"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"FinalProject.nlogo"
"Effect of Water Density on Dengue Spread (50% density)"
"05/27/2025 01:13:01:565 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","35","0","35"
"init-total-humans","init-n-turtles-infected","water-density","init-total-mosquitoes","max-ticks","[step]","(mean) mosquito_to_human_rate","(std) mosquito_to_human_rate","(mean) human_to_mosquito_rate","(std) human_to_mosquito_rate","(mean) total-mosquitoes","(std) total-mosquitoes","(mean) mosquito-death-toll","(std) mosquito-death-toll","(mean) cur-human-population","(std) cur-human-population","(mean) %infected-humans","(std) %infected-humans","(mean) %recovered-humans","(std) %recovered-humans","(mean) total-larvae","(std) total-larvae","(mean) total-hatched-larvae","(std) total-hatched-larvae"
"500","10","50","5000","100","0","0","0","0","0","5000","0","0","0","500","0","0","0","0","0","0","0","0","0"
"500","10","50","5000","100","1","0.2075815979290087","0.11691491553485459","2.1567289166518533","0.5215144996480717","5000","0","168.1","11.22007130102122","500","0","2.28","0.16000000000000006","2.28","0.16000000000000006","1212","318.495839847242","0","0"
"500","10","50","5000","100","2","0.2135387221978085","0.0817161800982332","2.3594936678121363","0.3653223279721589","5000","0","333.9","13.330041260251223","500","0","2.5600000000000005","0.21540659228538026","2.5600000000000005","0.21540659228538026","2482.7","316.8848529040162","0","0"
"500","10","50","5000","100","3","0.21628987301718494","0.08866367549998536","2.49553221756992","0.293279163833759","5000","0","498.2","16.104657711357916","500","0","2.82","0.3155946767611901","2.82","0.3155946767611901","3837.6","469.8853477179301","0","0"
"500","10","50","5000","100","4","0.6945138269351971","0.14655924038299914","2.851555372069611","0.30181497166315036","5000","0","660.9","12.308127396155761","500","0","5.360000000000001","0.7578918128598569","5.360000000000001","0.7578918128598569","5142","539.1734414824232","0","0"
"500","10","50","5000","100","5","1.0101133201012382","0.13709265241986382","3.456700158273775","0.47692496437391885","5044.3","11.171839597846006","831.8","16.197530676001204","500","0","7.8","0.8854377448471461","7.8","0.8854377448471461","6530.5","635.9313249085942","44.3","11.171839597846006"
"500","10","50","5000","100","6","1.2438385579724374","0.1422267667377856","4.36030146535706","0.6048298370904538","5116.4","19.474085344374974","1002.6","13.879481258317979","499.8","0.39999999999999997","10.26","1.077218640759619","10.26","1.077218640759619","7871.4","678.4069869923215","116.4","19.47408534437497"
"500","10","50","5000","100","7","1.7657162118639769","0.2156147793360613","5.373495946742695","0.7719267565848924","5210.8","33.72773339553075","1170.7","13.483693855913518","499.4","0.66332495807108","14.5","1.4484474446799926","14.920000000000002","1.5263027222671128","8990.6","742.1058145574659","210.8","33.72773339553075"
"500","10","50","5000","100","8","2.372666181945079","0.3222215088563884","6.604220717962541","0.8137683940622235","5317.8","39.58989770130759","1340.4","16.493635136015346","499.2","0.7483314773547883","19.7","2.1396261355666795","20.66","2.061164719278883","10031.4","791.8702166390652","317.8","39.58989770130759"
"500","10","50","5000","100","9","3.1011528132235613","0.41995842303322134","8.044544534198032","0.9017292805220293","5444.5","45.636060303229506","1512.3","25.514897609044016","499","0.8944271909999159","25.839999999999996","2.8910897599348253","27.399999999999995","2.794279871451677","11054.9","948.2695239223921","444.5","45.636060303229506"
