"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"FinalProject.nlogo"
"Effect of Water Density on Dengue Spread (10% density)"
"05/27/2025 01:10:17:180 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","35","0","35"
"[mean]","50.5","31.487892227485492","13.752214502810967","5390.843137254902","4477.833333333333","346.8921568627451","22.705882352941167","58.31176470588235","4695.28431372549","390.84313725490193","50.5","27.50953463446087","12.45261853972127","5373.0392156862745","4476.696078431372","364.8137254901961","22.201960784313723","60.4","4621.431372549019","373.03921568627453","50.5","28.63090512618741","12.804485173050272","5411.049019607844","4498.941176470588","365.1078431372549","21.662745098039203","60.827450980392285","4672.362745098039","411.04901960784315","50.5","29.159753905008376","13.23964123146418","5361.254901960784","4473.774509803921","376.2647058823529","22.73725490196078","63.35882352941182","3741.9313725490197","361.2549019607843","50.5","28.265425658816444","12.942097565846991","5311.431372549019","4434.911764705882","361.6078431372549","22.994117647058815","60.26862745098051","3532.9117647058824","311.4313725490196","50.5","28.873267111200168","13.17112890876735","5362.156862745098","4473.813725490196","349.8137254901961","22.00392156862747","58.09019607843131","4511.64705882353","362.15686274509807","50.5","27.89831433086227","12.570651625749464","5431.490196078431","4516.774509803921","358.921568627451","21.8941176470588","59.28039215686285","5352.950980392156","431.4901960784314","50.5","29.63269705797974","12.892304142685886","5431.686274509804","4512.205882352941","389.0686274509804","22.123529411764693","65.84705882352947","4845.450980392156","431.6862745098039","50.5","30.97940521030179","13.645803456085455","5285.029411764706","4418.333333333333","356.4117647058824","21.962745098039218","60.06078431372547","3217.6176470588234","285.02941176470586","50.5","28.51979224690263","12.599313255395277","5324.264705882353","4448.098039215686","381.6372549019608","21.280392156862753","64.27843137254898","4182.0392156862745","324.2647058823529"
"[total steps]","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101","101"

"[all run data]","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae","[step]","mosquito_to_human_rate","human_to_mosquito_rate","total-mosquitoes","mosquito-death-toll","cur-human-population","%infected-humans","%recovered-humans","total-larvae","total-hatched-larvae"
,"0","0","0","5000","0","500","0","0","0","0","0","0","0","5000","0","500","0","0","0","0","0","0","0","5000","0","500","0","0","0","0","0","0","0","5000","0","500","0","0","0","0","0","0","0","5000","0","500","0","0","0","0","0","0","0","5000","0","500","0","0","0","0","0","0","0","5000","0","500","0","0","0","0","0","0","0","5000","0","500","0","0","0","0","0","0","0","5000","0","500","0","0","0","0","0","0","0","5000","0","500","0","0","0","0"
,"1","0.6069802731411229","1.669195751138088","5000","158","500","2.8000000000000003","2.8000000000000003","478","0","1","0","1.059001512859304","5000","148","500","2","2","447","0","1","0","1.954887218045113","5000","158","500","2","2","189","0","1","0.3067484662576687","3.067484662576687","5000","173","500","2.4","2.4","150","0","1","0.13869625520110956","1.5256588072122053","5000","153","500","2.1999999999999997","2.1999999999999997","315","0","1","0","1.2658227848101267","5000","132","500","2","2","359","0","1","0.1607717041800643","1.2861736334405145","5000","183","499","2","2","314","0","1","0.2962962962962963","2.2222222222222223","5000","164","500","2.4","2.4","204","0","1","0.5594405594405595","2.3776223776223775","5000","169","500","2.8000000000000003","2.8000000000000003","0","0","1","0.1483679525222552","2.8189910979228485","5000","175","500","2.1999999999999997","2.1999999999999997","415","0"
,"2","0.44742729306487694","1.864280387770321","5000","337","500","3.2","3.2","604","0","2","0.07651109410864575","1.8362662586074983","5000","318","500","2.1999999999999997","2.1999999999999997","921","0","2","0.07716049382716049","2.2376543209876543","5000","335","500","2.1999999999999997","2.1999999999999997","662","0","2","0.1509433962264151","2.5660377358490565","5000","333","500","2.4","2.4","372","0","2","0.1469507714915503","1.836884643644379","5000","315","500","2.4","2.4","361","0","2","0.15432098765432098","1.4660493827160492","5000","284","500","2.4","2.4","450","0","2","0.16129032258064516","1.532258064516129","5000","347","499","2.1999999999999997","2.1999999999999997","627","0","2","0.15220700152207","2.207001522070015","5000","341","500","2.4","2.4","332","0","2","0.2982848620432513","2.460850111856823","5000","329","500","2.8000000000000003","2.8000000000000003","299","0","2","0.07501875468867217","2.77569392348087","5000","332","500","2.1999999999999997","2.1999999999999997","591","0"
,"3","0.3021148036253776","2.416918429003021","5000","504","500","3.2","3.2","784","0","3","0.10416666666666667","2.1875","5000","500","500","2.4","2.4","1114","0","3","0.1059322033898305","2.489406779661017","5000","501","500","2.4","2.4","976","0","3","0.10245901639344263","2.459016393442623","5000","511","500","2.4","2.4","776","0","3","0.15120967741935484","2.4193548387096775","5000","481","500","2.6","2.6","545","0","3","0.20876826722338201","1.7223382045929019","5000","469","500","2.8000000000000003","2.8000000000000003","647","0","3","0.16120365394948952","1.8269747447608813","5000","495","499","2.4","2.4","782","0","3","0.10405827263267431","2.653485952133195","5000","516","500","2.4","2.4","617","0","3","0.20273694880892043","2.5848960973137354","5000","509","500","2.8000000000000003","2.8000000000000003","454","0","3","0.10224948875255625","2.8118609406952966","5000","506","500","2.4","2.4","630","0"
,"4","0.7390120575651498","3.0338389731621938","5000","667","500","5.800000000000001","5.800000000000001","886","0","4","0.35502958579881655","2.3274161735700196","5000","679","500","3.5999999999999996","3.5999999999999996","1239","0","4","0.48426150121065376","2.6230831315577077","5000","652","500","4.2","4.2","1336","0","4","0.7480314960629921","2.677165354330709","5000","705","500","5.6000000000000005","5.6000000000000005","1072","0","4","0.41353383458646614","3.1203007518796992","5000","677","500","4.2","4.2","638","0","4","0.4401760704281713","2.3609443777511006","5000","621","500","4","4","1248","0","4","0.4100041000410004","2.009020090200902","5000","663","499","3.8","3.8","1270","0","4","0.6708760852407262","2.44672454617206","5000","666","500","5","5","902","0","4","0.9202453987730062","2.9524539877300615","5000","670","500","6.6000000000000005","6.6000000000000005","602","0","4","0.7427677873338546","3.0492572322126663","5000","674","500","5.6000000000000005","5.6000000000000005","630","0"
,"5","1.0472865756902572","3.64963503649635","5013","847","500","8.200000000000001","8.200000000000001","983","13","5","0.6789524733268671","2.9744584545748465","5017","842","500","6","6","1448","17","5","0.819672131147541","3.245901639344263","5006","838","500","6.6000000000000005","6.6000000000000005","1690","6","5","0.9268136784915307","3.1639501438159154","5004","851","500","7.3999999999999995","7.3999999999999995","1283","4","5","0.7125154894671624","3.407682775712516","5007","844","500","6.4","6.4","771","7","5","0.7069408740359897","2.859897172236504","5014","776","500","6","6","1619","14","5","0.6375838926174496","2.4496644295302015","5013","843","499","5.6000000000000005","5.6000000000000005","1595","13","5","0.8985879332477535","3.1129653401797177","5006","831","500","7.000000000000001","7.000000000000001","1143","6","5","1.211734693877551","4.145408163265306","5000","839","500","9.4","9.4","762","0","5","1.0161956176563989","3.588440774849158","5017","842","500","7.3999999999999995","7.3999999999999995","981","17"
