BehaviorSpace results (NetLogo 6.4.0),Stats version 2.0,,,,,,,,,,,,,,,,,,,,,,
FinalProject.nlogo,,,,,,,,,,,,,,,,,,,,,,,
Effect of Water Density on Dengue Spread (10% density),,,,,,,,,,,,,,,,,,,,,,,
05/27/2025 01:10:17:249 +0800,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
0,35,0,35,,,,,,,,,,,,,,,,,,,,
init-total-humans,init-n-turtles-infected,water-density,init-total-mosquitoes,max-ticks,[step],(mean) mosquito infect humans,(std) mosquito infect humans,(mean) humans infect mosquito,(std) humans infect mosquito,(mean) total-mosquitoes,(std) total-mosquitoes,(mean) mosquito-death-toll,(std) mosquito-death-toll,(mean) cur-human-population,(std) cur-human-population,(mean) %infected-humans,(std) %infected-humans,(mean) %recovered-humans,(std) %recovered-humans,(mean) total-larvae,(std) total-larvae,(mean) total-hatched-larvae,(std) total-hatched-larvae
500,10,10,5000,100,26,29.6987263,1.653048575,14.94810309,0.396011654,5357.8,55.15759241,4326.7,28.81336495,395.6,11.06526095,71.76,1.301691208,78.86,2.198272049,4370.8,592.9308223,357.8,55.15759241
500,10,10,5000,100,27,30.40677437,1.645713012,14.8494116,0.387303597,5367.6,54.89845171,4493.4,25.24757414,389.6,12.25724276,70.62,1.309809146,77.74,2.401749362,4443.2,631.3177964,367.6,54.89845171
500,10,10,5000,100,28,30.97687436,1.615334965,14.76078193,0.389926508,5376.6,54.97672235,4658.3,21.74419463,385.1,12.06192356,69.32,1.746310396,76.84,2.366093827,4501.2,612.6204045,376.6,54.97672235
500,10,10,5000,100,29,31.39317116,1.603252988,14.70844205,0.372298259,5384.1,52.83076755,4830.2,13.81158934,378.8,11.53949739,67.04,1.973423421,75.58,2.270594636,4534.4,614.3141216,384.1,52.83076755
500,10,10,5000,100,30,31.67225037,1.58225352,14.68116491,0.371029461,5390.7,50.93731442,5000,0,372.9,10.96767979,64.08,2.425201023,74.42,2.156756824,4566.4,625.876058,390.7,50.93731442
500,10,10,5000,100,31,31.94375317,1.562272311,14.65243085,0.361060446,5397,50.96665577,5000,0,366.9,12.2511224,61.18,2.753107335,73.28,2.44981632,4616.7,659.5807835,397,50.96665577
500,10,10,5000,100,32,32.24142156,1.53182374,14.61953664,0.367376593,5402.7,50.73864405,5000,0,361.1,11.24677732,57.36,2.875830315,72.12,2.234636436,4626.9,661.1378752,402.7,50.73864405
500,10,10,5000,100,33,32.5526393,1.497040599,14.57383981,0.369018897,5406.4,51.45133623,5000,0,355.9,11.72561299,53.76,3.02496281,71.08,2.325854682,4663.7,643.3360009,406.4,51.45133623
500,10,10,5000,100,34,32.84214702,1.468622294,14.52884809,0.366991086,5410.2,51.79536659,5000,0,352.3,12.09173271,50.06,2.651867267,70.38,2.390732105,4697.6,664.5451377,410.2,51.79536659
500,10,10,5000,100,35,33.14554828,1.433520289,14.47977636,0.374808199,5413.3,52.99820752,5009.7,5.550675635,349.3,12.94642808,46.6,3.03183113,69.78,2.565073098,4716.6,662.3204964,413.3,52.99820752
